"","X","Unnamed..0","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","All_Event","AllCells_events","LiveCells_events","Singlets1_events","Singlets2_events","pCD4_events","pCD8_events","pDP_events","pDN_events","CD4_events","CD8_events","Bcells_events","TCRb_events","x4Tregs_events","x8Tregs_events","DN_events","DP_events","CD4prol_events","CD8Prol_events","BcellProl_events","x4tregProl_events","x8tregsProl","DPprol_events","DNProl_events","intage","Bratio","CD4Ratio","CD8Ratio","DPRatio","DNRatio","X4TregRatio","X8TregRatio","TCRbRatio","CD4ProlRatio","CD8ProlRatio","BProlRatio","X4TregProlRatio","X8TregProlRatio","Bct","CD4CT","CD8ct","DPct","DNct","X4TregCT","X8TregCT","TCRbCT","CD4ProlCT","CD8ProlCT","BprolCT","X4TregProlCT","X8TregProlCT","ThymicDerivedTregsCT","NaiveDerivedTregsCT","NoTregCD4CT","ActivatedCD4CT","NaiveCT","hours"
"2",1,2,NA,51,3,"JP090617D19WTS","51_3_JP090617D19WTS.fcs compensated","JP","9/6/2017","Spleen",1277,1,8864,"8/18/2017","F",18,"WT",11.9,0.074,72.2,55900,34584,31537,30671,29383,1717,1630,38,25579,1655,1552,19710,3475,146,19,103,14,0,0,0,0,0,0,0,18,0.670796038525678,0.0584351495762856,0.0554742538202362,0.0012932648129871,0.00350542830888609,0.0882175226586103,0.0122422680412371,0.118265663819215,0,0,0,0,0,48.431473981554,4.21901779940782,4.00524112582105,0.0933737194976687,0.253091923901576,372191.298316339,0.0490332354320876,8.53878092774734,0,0,0,0,0,13866.9156559659,358324.382660374,3.84682650109148,162489.951406104,3684336.54968538,432
"4",3,4,NA,53,7,"JP091317D19WTS","53_7_JP091317D19WTS.fcs compensated","JP","9/13/2017","Spleen",1218,1,NA,"8/25/2017","M",18,"WT",11.1,0.08,40.25,30000,18838,18609,17795,16490,413,539,26,15043,387,508,8727,1167,50,17,71,5,0,0,0,0,0,0,0,18,0.529229836264403,0.0250454821103699,0.0326864766525167,0.0015767131594906,0.00430563978168587,0.129198966408269,0.0334645669291339,0.0707701637355973,0,0,0,0,0,21.3015009096422,1.00808065494239,1.3156306852638,0.0634627046694967,0.173302001212856,130242.978674727,0.0440270111210326,2.84849909035779,0,0,0,0,0,4518.23304603126,125724.745628696,0.877837676267662,37079.863445546,840757.812822116,432
"6",5,6,NA,31,11,"JA102517D12WTS","31_11_JA102517D12WTS.fcs compensated","JA","10/25/2017","Spleen",7699,0,3,"10/13/2017","",12,"WT",10.2,NA,15.6,100000,70836,67216,64684,62524,2913,1454,35,56587,2454,1352,19291,5232,172,1,62,8,673,442,10762,129,0,1,22,12,0.308537521591709,0.0465901093979912,0.0232550700530996,0.000559785042543663,0.000991619218220203,0.0700896495517522,0.000739644970414201,0.0836798669310985,0.274246128769356,0.326923076923077,0.557876730081385,0.75,0,4.81318533683066,0.726805706608662,0.362779092828354,0.00873264666368114,0.0154692598042352,50941.5572684148,0.000268327731381919,1.30540592412514,0.199323651404902,0.118600857270808,2.68516409698676,0.0382061679513111,0,794.943717926146,11940.4455991776,0.675864149340248,29062.1584216307,646801.990918617,288
"8",7,8,NA,37,19,"JA103117D14WTS","37_19_JA103117D14WTS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9172,"10/17/2017","F",14,"WT",10.2,0.083,30,50000,40722,39964,39323,37760,4163,643,10,31551,1639,631,18738,3405,261,35,960,2,557,262,14732,177,35,1,190,14,0.496239406779661,0.110248940677966,0.0170286016949153,0.000264830508474576,0.0254237288135593,0.159243441122636,0.0554675118858954,0.0901747881355932,0.339841366687004,0.415213946117274,0.786209840964884,0.67816091954023,1,14.8871822033898,3.30746822033898,0.510858050847458,0.00794491525423729,0.76271186440678,526692.62081054,0.0283360250073867,2.7052436440678,1.12401452027383,0.212115387198152,11.7044491525424,0.357182352043929,0.0283360250073867,31548.2938953026,137961.974871308,2.78077559952844,169071.156451329,2611704.44307711,336
"10",9,10,NA,47,23,"JA111417D18WTS","47_23_JA111417D18WTS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9206,"10/27/2017","",18,"WT",10.9,NA,51.245,114356,91493,89887,89613,88453,11146,3790,198,70868,9240,3640,55324,15557,946,21,381,48,2109,1023,37869,536,17,22,87,18,0.625462109821035,0.126010423614801,0.0428476139870892,0.00223847693125162,0.00430737227680237,0.102380952380952,0.00576923076923077,0.175878715249907,0.228246753246753,0.281043956043956,0.684494975056034,0.566596194503171,0.80952380952381,32.0518058177789,6.45740415814048,2.19572597876839,0.11471075034199,0.220731292324737,661115.187619145,0.0126676498775099,9.01290476298147,1.47388153349765,0.617095515461555,21.9393000237414,0.374585349433257,0.0102547641865556,25341.5393541828,261188.298831704,5.79628897052134,244835.246114821,5551453.72440652,432
"11",13,14,NA,15,38,"GM030918D7WTS","15_38_GM030918D7WTS.fcs compensated","GM","3/9/2018","Spleen",8813,0,6,"3/2/2018","",7,"WT",3.3,0.019,7.5,717831,483022,469448,456828,433418,23366,8910,1177,394730,22219,8303,144428,34225,1188,43,169,184,3538,2038,41690,495,10,60,44,7,0.333230276545967,0.0539110050805458,0.0205575218380409,0.00271562325514861,0.000389923814885399,0.0534677528241595,0.00517885101770444,0.0789653406180639,0.159233088797876,0.245453450560039,0.28865593929155,0.416666666666667,0.232558139534884,2.49922707409475,0.404332538104094,0.154181413785307,0.0203671744136146,0.00292442861164049,21618.7522061147,0.000798482571693145,0.592240054635479,0.0643831189437996,0.0378443600258286,0.721416738575694,0.00900781341921447,0.000185693621323987,800.070689357577,11810.8680975427,0.382713785897979,19893.9830817258,362819.802816253,168
"14",16,17,NA,55,44,"GM031318D19WTS","55_44_GM031318D19WTS.fcs compensated","GM","3/13/2018","Spleen",8368,1,9887,"2/22/2018","M",18,"WT",10.9,0.07,12.975,469732,381972,371257,369662,366826,23315,10036,578,331717,22298,9758,243157,34311,2512,24,308,250,4368,2093,117454,956,1,137,162,18,0.662867408526113,0.0635587444728563,0.0273590203529739,0.00157567893224581,0.000839635140366277,0.112655843573415,0.00245952039352326,0.0935348094191797,0.195892008251861,0.214490674318508,0.483037708147411,0.380573248407643,0.0416666666666667,8.60070462562632,0.824674709535311,0.354983289079836,0.0204444341458893,0.0108942659462524,92904.4250763612,0.000873088638851821,1.21361415221386,0.161547185005392,0.0761406050465359,4.15446465081537,0.0353569388427553,3.63786932854925e-05,1964.3970476345,55583.0891859714,0.73177028445895,30909.976815546,700860.307643404,432
"16",20,21,NA,33,52,"GM032118D12WTS_1","33_52_GM032118D12WTS_1.fcs compensated","GM","3/21/2018","Spleen",7998,0,8,"3/9/2018","F",12,"WT",9.8,0.07,15.8,677827,456513,444985,434469,416684,24233,10334,459,377842,22109,10020,275106,36237,2198,87,344,120,5222,3100,150942,1057,69,62,157,12,0.660226934559522,0.0581567806779238,0.0248005682963589,0.00110155417534631,0.000825565656468691,0.0994165272061152,0.00868263473053892,0.0869651822484185,0.236193405400516,0.30938123752495,0.548668513227629,0.480891719745223,0.793103448275862,10.4315855660405,0.918877134711196,0.39184897908247,0.0174045559704716,0.0130439373722053,91351.5736620928,0.00340228155490768,1.37404987952501,0.217032719592106,0.121230722071423,5.72348254312621,0.0439302153597962,0.00269836123320264,3260.84357428993,44160.5147280066,0.827525561049103,35583.5991251114,791941.961923992,288
"18",22,23,NA,39,56,"GM032118D14WTS_3","39_56_GM032118D14WTS_3.fcs compensated","GM","3/21/2018","Spleen",8368,1,9918,"3/7/2018","F",14,"WT",8.7,0.06,11.55,894745,536986,521997,509863,487160,23444,10704,454,449523,22282,10257,294595,40835,2816,30,384,157,5559,3166,169129,1302,17,75,167,14,0.604719188767551,0.0481238196896297,0.0219722473109451,0.00093193201412267,0.000788242055998029,0.126380037698591,0.00292483182217023,0.0838225634288529,0.249483888340364,0.308667251633031,0.574106824623636,0.462357954545455,0.566666666666667,6.98450663026521,0.555830117415223,0.253779456441416,0.0107638147631168,0.00910419574677724,70245.831192948,0.000742262230012915,0.968150607603252,0.138670658949431,0.0783334073406963,4.00985292306429,0.0324787188257167,0.000420615263673985,2195.88423380578,35571.2281334255,0.485584286222275,29523.5246023143,456060.761619961,336
"20",24,25,NA,41,60,"GM032118D14WTS_5","41_60_GM032118D14WTS_5.fcs compensated","GM","3/21/2018","Spleen",8368,1,9920,"3/7/2018","F",14,"WT",8.8,0.063,9.85,664466,439940,432762,421411,402083,19178,10478,4359,363791,18469,9813,227203,33353,1794,55,530,168,3883,2747,124917,843,39,106,216,14,0.565064924406155,0.0476966198521201,0.0260592962149606,0.0108410452568251,0.00131813580778098,0.0971357409713574,0.00560480994599001,0.0829505350885265,0.210244192972007,0.279934780393356,0.549803479707574,0.469899665551839,0.709090909090909,5.56588950540063,0.469811705543383,0.256684067717362,0.106784295779727,0.0129836377066427,45635.5081349737,0.00143866541571944,0.817062770621986,0.0987751828807708,0.0718547981269329,3.06014541773713,0.0214441100099124,0.00102014456751015,1277.94625112512,22913.4518739362,0.424176197408409,25789.9128024313,398386.284605978,336
