"","FileID","Organ","Age","Genotype","intage","NaiveCT","ActivatedCD4CT","X4TregCT","ThymicDerivedTregsCT","X4TregProlCT","NaiveDerivedTregsCT","X4TregCT.1","hours","ActivatedProlCT","NaiveProlCT"
"1","JA102517D12WTS","Spleen",12,"WT",12,646801.990918617,29062.1584216307,50941.5572684148,794.943717926146,38206.1679513111,11940.4455991776,50941.5572684148,288,1,0.199323651404902
"2","JA103117D14WTS","Spleen",14,"WT",14,2611704.44307711,169071.156451329,526692.62081054,31548.2938953026,357182.352043929,137961.974871308,526692.62081054,336,1,1.12401452027383
"3","JA111417D18WTS","Spleen",18,"WT",18,5551453.72440652,244835.246114821,661115.187619145,25341.5393541828,374585.349433257,261188.298831704,661115.187619145,432,1,1.47388153349765
"4","GM030918D7WTS","Spleen",7,"WT",7,362819.802816253,19893.9830817258,21618.7522061147,800.070689357577,9007.81341921447,11810.8680975427,21618.7522061147,168,1,0.0643831189437996
"5","GM031318D19WTS","Spleen",18,"WT",18,700860.307643404,30909.976815546,92904.4250763612,1964.3970476345,35356.9388427553,55583.0891859714,92904.4250763612,432,1,0.161547185005392
"6","GM032118D12WTS_1","Spleen",12,"WT",12,791941.961923992,35583.5991251114,91351.5736620928,3260.84357428993,43930.2153597962,44160.5147280066,91351.5736620928,288,1,0.217032719592106
"7","GM032118D14WTS_3","Spleen",14,"WT",14,456060.761619961,29523.5246023143,70245.831192948,2195.88423380578,32478.7188257167,35571.2281334255,70245.831192948,336,1,0.138670658949431
"8","GM032118D14WTS_5","Spleen",14,"WT",14,398386.284605978,25789.9128024313,45635.5081349737,1277.94625112512,21444.1100099124,22913.4518739362,45635.5081349737,336,1,0.0987751828807708
"9","JA032218D14WTS_1","Spleen",14,"WT",14,2326327.13499829,150596.986592734,257563.500635224,4970.26589472946,156891.472468157,95701.7622723377,257563.500635224,336,1,0.70241619652931
"10","JA032218D14WTS_3","Spleen",14,"WT",14,1838257.10789631,119001.311925145,188845.051540382,5729.37844130637,106978.712707716,76136.9603913593,188845.051540382,336,1,0.452650539097791
"11","GM032718D20WTS","Spleen",18,"WT",18,2102089.12826147,92708.2408722066,313434.064125937,10400.1348527893,180416.041754199,122617.887518949,313434.064125937,432,1,0.788380156453242
"12","JA033018D12WTS","Spleen",12,"WT",12,1061000.61131774,47672.9637269204,126017.589300416,3026.40963610533,65381.510766743,57609.6688975676,126017.589300416,288,1,0.320111626191294
"13","JA042618D7WTS_1","Spleen",7,"WT",7,383471.681211227,21026.3582062543,60760.6969456246,1392.48842713639,34150.7245352235,25217.4839832647,60760.6969456246,168,1,0.11836523949314
"14","JA042618D7WTS_3","Spleen",7,"WT",7,298541.492649883,16369.5017688375,39859.6819282832,813.793587406116,21978.0954188576,17067.7929220195,39859.6819282832,168,1,0.10374571373014
"15","GM042718D4WTS","Spleen",4,"WT",4,205234.06467325,21602.3918789918,5463.17310862514,123.318648440279,2295.45088597695,3044.40357420791,5463.17310862514,96,1,0.167062915481403
"16","AD050318D9WTS_1","Spleen",9,"WT",9,149929.184014375,6847.95651644434,19826.6656204918,420.399167124258,13348.441890175,6057.82456319251,19826.6656204918,216,1,0.0651536004469438
"17","AD050318D9WTS_3","Spleen",9,"WT",9,164586.056294462,7517.40339365469,22455.81665452,560.721131458082,14248.0278129709,7647.06771009106,22455.81665452,216,1,0.0743325102129028
"18","AD051018D9WTS_T5","Spleen",9,"WT",9,183305.910354943,8372.42536581499,30256.1535484388,606.921356469427,14623.8075484121,15025.4246435573,30256.1535484388,216,1,0.0605123070968777
"19","AD051018D9WTS_T1","Spleen",9,"WT",9,270607.852207857,12359.9072262685,29211.8149691877,1092.32780607236,8059.28681238199,20060.2003507333,29211.8149691877,216,1,0.059341148744708
"20","AD052218D4WTS_T2","Spleen",4,"WT",4,71918.7425854721,7569.97559469086,2385.42054285034,51.2453444336004,1008.38232038674,1325.79287803001,2385.42054285034,96,1,0.0434580251624735
"21","AD052218D4WTS_T3","Spleen",4,"WT",4,52636.1583182745,5540.34205192169,1056.49494569276,24.7203839482968,510.927883572727,520.846678171734,1056.49494569276,96,1,0.0294606213544816
"22","KV053118D0WTS_T2","Spleen",0,"WT",0,1090.98378470159,267.312759996604,18045.9398081331,662.704004253476,18045.9398081331,1,18045.9398081331,1,1,0.0191131728075388
"23","KV053118D0WTS_T5","Spleen",0,"WT",0,1423.44352166976,348.77201825773,58680.0256553767,2943.19877895306,58483.112817607,1,58680.0256553767,1,1,0.0600584155197647
"24","KV053118D0WTS_T6","Spleen",0,"WT",0,450.948465894448,110.491357181309,37400.5297525848,2025.29944508582,37357.3420738866,1,37400.5297525848,1,1,0.0378324065395661
"25","KV060818D0WTS_T2","Spleen",0,"WT",0,1142.83227533461,280.016673040153,5044.64627151052,39.4112989961759,5044.64627151052,1,5044.64627151052,1,1,0.00620879541108987
"26","JA042618D7WTS_1","Spleen",7,"WT",7,383471.681211227,21026.3582062543,60760.6969456246,1392.48842713639,34150.7245352235,25217.4839832647,60760.6969456246,168,1,0.11836523949314
